ODIS_PERS_ID,Correct Birth Country,Correct Death Country
120367,Britain,Britain
120527,,Britain
120402,Britain,Britain
120325,Britain,Britain
120324,Britain,Britain
120307,Britain,Low Countries
120266,Britain,Britain
119912,Britain,Britain
119764,Britain,Britain
123724,Britain,Britain
123773,Britain,Britain
124875,Low Countries,Britain
120257,Britain,Britain
120332,Britain,
123926,France,Low Countries
185943,,
185942,,
185941,,
179147,,
172575,,
169813,,
169811,,
169797,,
165807,,
165802,,
165765,,
165762,,
165759,,
165758,,
165757,,
165756,,
165628,,
165625,,
160823,,
157788,,
157787,,
157786,,
157710,,
157699,,
157697,,
157694,,
157693,,
157692,,
157691,,
157688,,
157687,,
157682,,
157680,,
157679,,
157677,,
157676,,
157672,,
157670,,
157669,,
157667,,
157663,,
157662,,
157659,,
157657,,
157654,,
157635,,
157634,,
157633,,
157629,,
157628,,
157625,,
157623,,
157620,,
157619,,
157612,,
157606,,
157604,,
157602,,
157599,,
157598,,
157597,,
157594,,
157593,,
157592,,
157590,,
157589,,
157587,,
157585,,
157584,,
157583,,
157582,,
157581,,
157579,,
157578,,
157575,,
156870,,
156869,,
156868,,
156867,,
156787,,
156786,,
156785,,
156755,,
156754,,
156753,,
156752,,
156751,,
156750,,
156749,,
156748,,
156746,,
156745,,
156744,,
156743,,
156742,,
156741,,
156740,,
156739,Low Countries,
156738,,
156737,,
156736,,
156734,,
156733,,
156732,,
156731,,
156693,,
156692,,
156685,,
156684,,
156683,,
156682,,
156680,,
156679,,
156678,,
156677,,
156676,,
156675,,
156674,,
156548,,
156547,,
156546,,
156545,,
156544,,
156543,,
156542,,
156541,,
156540,,
156539,,
156531,,
156530,,
156529,,
156527,,
156526,,
156524,,
156523,,
156520,,
156431,,
156430,,
156429,,
156428,,
156427,,
156426,,
156425,,
156424,,
156423,,
156422,,
156421,,
156420,,
156418,,
156417,,
156416,,
156415,,
156413,,
156410,,
156379,,
156378,,
156376,,
156375,,
156374,,
156371,,
156370,,
156369,,
156367,,
156340,,
156338,,
156337,Low Countries,Low Countries
156336,,
156335,,
156334,,
156333,,
156331,,
156330,,
156329,,
156328,,
156327,,
156260,,
156259,,
156258,,
156257,,
156256,,
156255,,
156254,,
156252,,
156251,,
156249,,
156243,,
156239,,
156238,,
156157,,
156154,,
156151,,
156148,,
156147,,
156122,,
156121,,
156120,,
156117,,
156116,,
156113,,
156111,,
156109,,
156106,,
156099,,
156065,,
156064,,
156063,,
156062,,
156060,,
156054,,
156053,,
156051,,
156050,,
156024,,
156023,,
156022,,
156021,,
156020,,
156019,,
156018,,
156017,,
156016,,
156015,,
156013,,
156011,,
156009,,
156006,,
156003,,
156001,,
156000,,
155999,,
155998,,
155997,,
155996,,
155995,,
155994,,
155993,,
155992,,
155965,,
155964,,
155963,,
155962,,
155961,,
155960,,
155959,,
155958,,
155957,,
155956,,
155955,,
155954,,
155953,,
155952,,
155951,,
155950,,
155949,,
155948,,
155947,,
155946,,
155943,,
155942,,
155941,,
155940,,
155938,,
155937,,
155933,,
155932,,
155930,,
155929,,
155928,,
155927,,
155926,,
155925,,
155924,,
155923,,
155921,,
155920,,
155919,,
155918,,
155917,,
155916,,
155915,,
155742,,
155700,,
155696,,
155668,,
155654,,
155647,,
155644,,
155637,,
155629,,
155497,,
155057,,
155037,,
155036,,
155021,,
154988,,
154980,,
154975,,
154974,,
154973,,
154972,,
154971,,
154970,,
154924,,
154906,,
154879,,
154878,,
154877,,
154876,,
154770,,
154769,,
154768,,
154756,,
154732,,
154731,,
154730,,
154723,,
154588,,
154587,,
154586,,
154500,,
154358,,
154357,,
154356,,
154355,,
154354,,
154353,,
154352,,
