ODIS_ID,REL_TYPE,Relation,Relation Cluster,Relation Note,ODIS_PERS_ID
35786,author,author,author,,119246
35914,author,author,author,,119246
36812,author,author,author,,119246
35786,printer,printer,printer/publisher,,119215
35914,printer,printer,printer/publisher,,119215
35915,printer,printer,printer/publisher,,119215
35918,printer,printer,printer/publisher,,119215
35919,printer,printer,printer/publisher,,119215
35927,publisher,publisher,printer/publisher,,119215
35933,printer,printer,printer/publisher,,119215
35934,printer,printer,printer/publisher,,119215
35935,printer,printer,printer/publisher,,119215
35948,printer,printer,printer/publisher,,119215
35958,printer,printer,printer/publisher,,119215
35967,printer,printer,printer/publisher,,119215
35994,printer,printer,printer/publisher,,119215
35995,printer,printer,printer/publisher,,119215
35812,approbator,approbator,approbator,,119507
36150,editor,editor,compiler/editor/revisor,,119507
36153,editor,editor,compiler/editor/revisor,,119507
36176,editor/approbator,editor,compiler/editor/revisor,,119507
36176,,approbator,approbator,,119507
36177,author,author,author,,119507
36185,approbator/dedicatee,approbator,approbator,,119507
36185,,dedicatee,dedicatee,,119507
37623,eulogist/approbator,eulogist,commentator/eulogist,,119507
37623,,approbator,approbator,,119507
37669,approbator,approbator,approbator,,119507
38675,editor,editor,compiler/editor/revisor,,119507
38884,author,author,author,,119507
38972,approbator,approbator,approbator,,119507
39466,author,author,author,,119507
39938,author,author,author,,119507
35812,approbator,approbator,approbator,,124884
36177,approbator,approbator,approbator,,124884
36185,approbator,approbator,approbator,,124884
37669,approbator,approbator,approbator,,124884
35812,approbator,approbator,approbator,,124886
37669,approbator,approbator,approbator,,124886
35812,author,author,author,,119466
36174,author,author,author,,119466
37669,author,author,author,,119466
35812,dedicatee,dedicatee,dedicatee,,120065
36025,dedicatee,dedicatee,dedicatee,,120065
36043,dedicatee,dedicatee,dedicatee,,120065
36047,dedicatee,dedicatee,dedicatee,,120065
36068,dedicatee,dedicatee,dedicatee,,120065
36117,dedicatee,dedicatee,dedicatee,,120065
36148,dedicatee,dedicatee,dedicatee,,120065
36161,dedicatee,dedicatee,dedicatee,,120065
39938,dedicatee,dedicatee,dedicatee,,120065
35812,printer,printer,printer/publisher,,119346
35883,printer,printer,printer/publisher,,119346
37299,printer,printer,printer/publisher,,119346
37305,printer,printer,printer/publisher,,119346
37329,printer,printer,printer/publisher,,119346
37427,printer,printer,printer/publisher,,119346
38654,printer,printer,printer/publisher,,119346
