Id,Label,rel_pers_ref_surname,rel_pers_ref_first_name,full name,birth year,birth country,birth place,death year,death country,death place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,dutch,english,french,german,latin,spanish,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,birth region,death region,printing house,house origion,house note,gender,most involved role,most involved language,most involved period,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality,X,Y
116703,Erycius Puteanus,Puteanus,Erycius,Erycius Puteanus,1574,Netherlands,Venlo,1646,Belgium,Leuven,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,compiler/editor/revisor,LATIN,1620s,2,2,3,0.444853,0.464187,0,0.002294,0.002294,0.001862,0,0,20,1,1,0.01751,238.01152,965.638184
119252,Jean II Bogart,Bogart,Jean II,Jean II Bogart,1561,Belgium,Leuven,1629,France,Douai,0,0,0,0,0,1,0,0,1,107,0,0,0,1,24,0,84,0,0,0,0,0,1,0,38,68,2,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1620s,14,14,3,0.502075,0.539945,0,0.017329,0.017329,0.004091,0,0,6,1,91,0.13165,475.577026,-675.656311
119282,William Allen,Allen,William,William Allen,1532,Britain,Lancashire,1594,Italy,Roma,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,Britain,Italy,,,,Male or Unspecified,author,LATIN,1600s,11,11,3,0.489879,0.523416,0,0.014078,0.014078,0.00354,0,2,10,1,55,0.105924,-521.513733,806.68866
119375,Jan Vervliet,Vervliet,Jan,Jan Vervliet,,,,,,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,,,,,,Male or Unspecified,compiler/editor/revisor,FRENCH,Multi,60,60,3,0.643617,0.739669,0,0.126166,0.126166,0.010325,0,3,34,1,1770,0.928085,-536.44928,-92.64946
119440,John Heigham,Heigham,John,John Heigham,,,,,,,0,0,1,0,0,4,0,0,0,27,5,0,0,27,0,0,2,0,0,0,0,0,0,4,21,3,1,0,0,,,English College Press,Britain,,Male or Unspecified,printer/publisher,ENGLISH,1610s,12,13,3,0.502075,0.534435,0,0.010538,0.010538,0.004499,0,1,15,1,66,0.082166,153.65152,806.63092
119458,Christopher Cusack,Cusack,Christopher,Christopher Cusack,1560,,,1624,,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,Male or Unspecified,Multi,Multi,Multi,60,60,3,0.643617,0.739669,0,0.126166,0.126166,0.010325,0,3,24,1,1770,0.928085,-190.071442,-284.943237
119493,Laurentius Surius,Surius,Laurentius,Laurentius Surius,1523,Germany,Lübeck,1578,Germany,Köln,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Holy Roman Empire,Holy Roman Empire,,,,Male or Unspecified,Multi,FRENCH,1600s,60,60,3,0.643617,0.739669,0,0.126166,0.126166,0.010325,0,3,30,1,1770,0.928085,-699.825134,-273.370544
119507,Guillaume Gazet,Gazet,Guillaume,Guillaume Gazet,1554,France,Aire-sur-la-Lys,1612,France,Arras,6,0,5,0,1,4,1,0,0,0,0,0,0,1,8,0,4,0,0,0,0,1,6,2,3,0,0,1,0,Low Countries,Low Countries,,,,Male or Unspecified,approbator,FRENCH,1590s,68,79,3,0.672222,0.772727,0.008187,0.128564,0.128564,0.01229,0,0,5,0.811677,1849,0.948295,96.059731,-316.49646
119565,Claude de Bassecourt,de Bassecourt,Claude,Claude de Bassecourt,,,,,,,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,Male or Unspecified,translator,FRENCH,1590s,60,65,3,0.643617,0.739669,0,0.126166,0.126166,0.010325,0,3,24,1,1770,0.928085,-6.850856,-149.27272
119596,François de Belleforest,de Belleforest,François,François de Belleforest,1530,France,Hautes-Pyrénées,1583,France,Paris,0,0,0,0,1,1,0,0,0,0,4,0,0,0,6,0,0,0,0,0,1,1,1,2,0,1,0,0,0,France,France,,,,Male or Unspecified,translator,FRENCH,1600s,16,16,3,0.526087,0.560606,0,0.015922,0.015922,0.004951,0,0,29,1,120,0.123162,386.85556,270.179657
119625,Nicolas de Leuze,de Leuze,Nicolas,Nicolas de Leuze,,Belgium,Frasnes-lez-Buissenal,1598,,,2,0,0,0,0,6,0,0,0,0,4,0,0,0,9,0,3,0,0,0,3,1,3,3,1,1,0,0,0,Low Countries,,,,,Male or Unspecified,compiler/editor/revisor,FRENCH,Multi,78,90,3,0.733333,0.820937,0.029542,0.131224,0.131224,0.015031,0,0,2,0.651349,1956,0.971763,228.205841,-262.034454
