ODIS_PERS_ID,Degree,Degree Centrality,Eigenvector,Clustering,Closeness,Betweenness,modularity_class,REL_PERS_REF_SURNAME,REL_PERS_REF_FIRST_NAME,Full Name,Birth Year,Birth Country,Birth Place,Death Year,Death Country,Death Place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,DUTCH,ENGLISH,FRENCH,GERMAN,LATIN,SPANISH,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,Birth Region,Death Region,Printing House,House Origion,House Note,Gender,Most Involved Role,Most Involved Language,Most Involved Period
116703,2,0.015873015873015872,0.0022937418580772826,1.0,0.4272000466853408,0.0,0,Puteanus,Erycius,Erycius Puteanus,1574.0,Netherlands,Venlo,1646.0,Belgium,Leuven,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,compiler/editor/revisor,LATIN,1620s
119252,14,0.1111111111111111,0.017329184656503824,1.0,0.48215109003490747,0.0,0,Bogart,Jean II,Jean II Bogart,1561.0,Belgium,Leuven,1629.0,France,Douai,0,0,0,0,0,1,0,0,1,107,0,0,0,1,24,0,84,0,0,0,0,0,1,0,38,68,2,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1620s
119282,11,0.0873015873015873,0.01407772023438206,1.0,0.4704389178073389,0.0,2,Allen,William,William Allen,1532.0,Britain,Lancashire,1594.0,Italy,Roma,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,Britain,Italy,,,,Male or Unspecified,author,LATIN,1600s
119375,60,0.47619047619047616,0.12616571697827325,1.0,0.6180766632894292,0.0,3,Vervliet,Jan,Jan Vervliet,,,,,,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,,,,,,Male or Unspecified,compiler/editor/revisor,FRENCH,Multi
119440,12,0.09523809523809523,0.010538529098467645,1.0,0.48215109003490747,0.0,1,Heigham,John,John Heigham,,,,,,,0,0,1,0,0,4,0,0,0,27,5,0,0,27,0,0,2,0,0,0,0,0,0,4,21,3,1,0,0,,,English College Press,Britain,,Male or Unspecified,printer/publisher,ENGLISH,1610s
119458,60,0.47619047619047616,0.12616571697827325,1.0,0.6180766632894292,0.0,3,Cusack,Christopher,Christopher Cusack,1560.0,,,1624.0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,Male or Unspecified,Multi,Multi,Multi
119493,60,0.47619047619047616,0.12616571697827325,1.0,0.6180766632894292,0.0,3,Surius,Laurentius,Laurentius Surius,1523.0,Germany,Lübeck,1578.0,Germany,Köln,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Holy Roman Empire,Holy Roman Empire,,,,Male or Unspecified,Multi,FRENCH,1600s
119507,68,0.5396825396825397,0.1285640003304582,0.8116769095697981,0.6455467372134039,0.008187109187109189,0,Gazet,Guillaume,Guillaume Gazet,1554.0,France,Aire-sur-la-Lys,1612.0,France,Arras,6,0,5,0,1,4,1,0,0,0,0,0,0,1,8,0,4,0,0,0,0,1,6,2,3,0,0,1,0,Low Countries,Low Countries,,,,Male or Unspecified,approbator,FRENCH,1590s
119565,60,0.47619047619047616,0.12616571697827325,1.0,0.6180766632894292,0.0,3,de Bassecourt,Claude,Claude de Bassecourt,,,,,,,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,Male or Unspecified,translator,FRENCH,1590s
119596,16,0.12698412698412698,0.015922138943051004,1.0,0.5052104899930987,0.0,0,de Belleforest,François,François de Belleforest,1530.0,France,Hautes-Pyrénées,1583.0,France,Paris,0,0,0,0,1,1,0,0,0,0,4,0,0,0,6,0,0,0,0,0,1,1,1,2,0,1,0,0,0,France,France,,,,Male or Unspecified,translator,FRENCH,1600s
119625,78,0.6190476190476191,0.13122459221546615,0.6513486513486514,0.7042328042328042,0.029541858494239473,0,de Leuze,Nicolas,Nicolas de Leuze,,Belgium,Frasnes-lez-Buissenal,1598.0,,,2,0,0,0,0,6,0,0,0,0,4,0,0,0,9,0,3,0,0,0,3,1,3,3,1,1,0,0,0,Low Countries,,,,,Male or Unspecified,compiler/editor/revisor,FRENCH,Multi
119636,11,0.0873015873015873,0.01407772023438206,1.0,0.4704389178073389,0.0,2,Bristow,Richard,Richard Bristow,1538.0,Britain,Worcester,1581.0,,,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,Britain,,,,,Male or Unspecified,author,LATIN,1610s
119648,12,0.09523809523809523,0.010538529098467645,1.0,0.48215109003490747,0.0,1,du Crocquet,André,André du Crocquet,1540.0,France,Douai,1580.0,France,Valenciennes,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,4,0,0,0,1,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,author,LATIN,1570s
119678,68,0.5396825396825397,0.1285640003304582,0.8116769095697981,0.6455467372134039,0.008187109187109189,0,Hall,Richard,Richard Hall,,,,1604.0,France,Saint-Omer,2,0,7,0,0,2,0,0,0,0,0,0,0,0,2,0,9,0,0,0,1,5,4,1,0,0,0,0,0,,Low Countries,,,,Male or Unspecified,author,LATIN,1580s
119688,14,0.1111111111111111,0.017329184656503824,1.0,0.48215109003490747,0.0,0,de Ligne,Julien,Julien de Ligne,,,,,,,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,3,0,0,0,0,0,0,,,,,,Male or Unspecified,Multi,FRENCH,Multi
119717,14,0.1111111111111111,0.017329184656503824,1.0,0.48215109003490747,0.0,0,Chabanel,Jean,Jean Chabanel,1560.0,France,Toulouse,1620.0,France,Toulouse,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,France,France,,,,Male or Unspecified,translator,FRENCH,1590s
