Source,Target,ODIS_PERS_ID,REL_PERS_REF_SURNAME,REL_PERS_REF_FIRST_NAME,Full Name,Birth Year,Birth Country,Birth Place,Death Year,Death Country,Death Place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,DUTCH,ENGLISH,FRENCH,GERMAN,LATIN,SPANISH,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,Birth Region,Death Region,Printing House,House Origion,House Note,Gender,Most Involved Role,Most Involved Language,Most Involved Period
122624,123771,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,124677,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,123782,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,119930,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,122503,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,119565,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,119826,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,124308,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,155926,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
122624,122650,119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
