Name,ID,[Birth Place] Location Reference,Birth Place,[Birth Place] Geometry,Birth Geometry,[Death Place] Location Reference,Death Place,[Death Place] Geometry,Death Geometry
Elizabeth Cary,120367,London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
George Cotton,120527,,,,,London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Edward Knott,120402,Morpeth (GB),Morpeth,"{""type"": ""Point"", ""coordinates"": [-1.69120002, 55.16764831999999]}","-1.69120002, 55.16764831999999",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Anthony Champney,120325,Cawthorne (GB),Cawthorne,"{""type"": ""Point"", ""coordinates"": [-1.58333004, 53.56666946]}","-1.58333004, 53.56666946",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Edward Catcher,120324,London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Edward Weston,120307,London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966",Brugge (BE),Brugge,"{""type"": ""Point"", ""coordinates"": [3.2242400599999996, 51.20891953]}","3.2242400599999996, 51.20891953"
Robert Southwell,120266,Horsham (GB),Horsham,"{""type"": ""Point"", ""coordinates"": [-0.32719001, 51.063949580000006]}","-0.32719001, 51.063949580000006",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Edmund Campion,119912,London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
John Fisher,119764,Hull (GB),Hull,"{""type"": ""Point"", ""coordinates"": [-0.33524999, 53.74459838999999]}","-0.33524999, 53.74459838999999",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
John Jones,123724,Brecon (GB),Brecon,"{""type"": ""Point"", ""coordinates"": [-3.38887, 51.94612122]}","-3.38887, 51.94612122",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Nicholas Harpsfield,123773,London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Antoine Legrand,124875,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Thomas Everard,120257,Halesworth (GB),Halesworth,"{""type"": ""Point"", ""coordinates"": [1.5029, 52.34640121]}","1.5029, 52.34640121",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Robert Rookwood,120332,Bury St Edmunds (GB),Bury St Edmunds,"{""type"": ""Point"", ""coordinates"": [0.71111, 52.24629973999999]}","0.71111, 52.24629973999999",,,,
Philippe Du Trieu,123926,Le Havre (FR),Le Havre,"{""type"": ""Point"", ""coordinates"": [0.10767, 49.49380112]}","0.10767, 49.49380112",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
William Hyde,185943,,,,,,,,
Augustinus a Sancta Clara,185942,,,,,,,,
Bernardinus a Senis,185941,,,,,,,,
Carolus Lindanus,179147,,,,,,,,
Henricus Gravius,172575,,,,,,,,
Estienne Broustin,169813,,,,,,,,
Quintus Septimus Florentius Tertullianus,169811,,,,,,,,
Jean Scohier,169797,,,,,,,,
Matthäus Rader,165807,,,,,,,,
Carolus Malapertus,165802,,,,,,,,
? de Vaugelas,165765,,,,,,,,
Janus (Filio) Dousa,165762,,,,,,,,
Hippocrates of Kos,165759,,,,,,,,
Arnoldus de Reyger,165758,,,,,,,,
Guido Morillonus,165757,,,,,,,,
Andreus Navigerus,165756,,,,,,,,
Jacques Durand,165628,,,,,,,,
Rutilius Benzonius,165625,,,,,,,,
Frans Raphelengius,160823,,,,,,,,
Jan Jacobsz. Bouman,157788,,,,,,,,
Haring van Harinxma,157787,,,,,,,,
Francisco de Gomez de Quevedo y Villegas,157786,,,,,,,,
Caius Sallustius Crispus,157710,,,,,,,,
Guilelmus Peraldus,157699,,,,,,,,
Johannes Argyropoulus,157697,,,,,,,,
Paolo Zapil M de Giovio,157694,,,,,,,,
Pedro Vallés,157693,,,,,,,,
Diego de Fuentes,157692,,,,,,,,
Godefroy Tilmann,157691,,,,,,,,
Jean Gillot,157688,,,,,,,,
Basilius Caesariensis,157687,,,,,,,,
Angelus Politianus,157682,,,,,,,,
Pedro de Soto,157680,,,,,,,,
Francesco Torresano,157679,,,,,,,,
Silius Italicus,157677,,,,,,,,
Tiberius Catius,157676,,,,,,,,
Marco Girolamo Vida,157672,,,,,,,,
Reynier Sleghers,157670,,,,,,,,
Nicolaus van Winghe,157669,,,,,,,,
Lorenzo de Sepulveda,157667,,,,,,,,
Francisco Foreiro,157663,,,,,,,,
Konrad Celtis,157662,,,,,,,,
Angelus Politianus,157659,,,,,,,,
Philipp Agricola,157657,,,,,,,,
Johann Toltz von Veltkirch,157654,,,,,,,,
Nicolas Monardes,157635,,,,,,,,
Girolamo Cardano,157634,,,,,,,,
Auger Ferrier,157633,,,,,,,,
Baudouin van Ronss,157629,,,,,,,,
Garcias Lopes,157628,,,,,,,,
Petrus Montanus,157625,,,,,,,,
Joris Vivien,157623,,,,,,,,
Claudius Rutilius Namatianus,157620,,,,,,,,
Girolamo Fracastoro,157619,,,,,,,,
N. Marteloso,157612,,,,,,,,
Megalopolis Polybius,157606,,,,,,,,
Theodor Poelman,157604,,,,,,,,
Juan Martin Cordero,157602,,,,,,,,
Flavius Eutropius,157599,,,,,,,,
Juan m. Boscan,157598,,,,,,,,
Baldassare Castiglione,157597,,,,,,,,
Johann Bretschneider,157594,,,,,,,,
Arnold Laurentius,157593,,,,,,,,
Sebastian Fox Morcillo,157592,,,,,,,,
Claudius Galenus,157590,,,,,,,,
Pedro Mexia,157589,,,,,,,,
"Theodor Poelma,",157587,,,,,,,,
Luis Escobar,157585,,,,,,,,
Jacob Reyvaert,157584,,,,,,,,
Ludovicus Fidelis,157583,,,,,,,,
Aurelius (Pseudo-)Augustinus,157582,,,,,,,,
Ceriol Furio,157581,,,,,,,,
Pedro Mexias,157579,,,,,,,,
Juan de Duenas,157578,,,,,,,,
Rojas de Fernando,157575,,,,,,,,
Jean Franchois,156870,,,,,,,,
Robert de La Hamaide,156869,,,,,,,,
Gaspard Hano,156868,,,,,,,,
P. Claudio Aquaviva,156867,,,,,,,,
Pierre-Juste Sautel,156787,,,,,,,,
François-Antoine Pomey,156786,,,,,,,,
Antoine Drouhot,156785,,,,,,,,
Augustin Courbé,156755,,,,,,,,
Michel Seneschal,156754,,,,,,,,
Antoine Michel,156753,,,,,,,,
Jean d'Autriche,156752,,,,,,,,
Max de Lannoy Conteville,156751,,,,,,,,
Joannes Balthazar ab Hoyos,156750,,,,,,,,
Gilbert Girault,156749,,,,,,,,
Claude Lamoral,156748,,,,,,,,
Martini Martino,156746,,,,,,,,
M. Mallot,156745,,,,,,,,
Alexander Vander Haghen,156744,,,,,,,,
Jean Le Maire,156743,,,,,,,,
Jerome Trigault,156742,,,,,,,,
Hubert Toussaint,156741,,,,,,,,
Pierre Honoré,156740,,,,,,,,
Antonius Briet,156739,Frasnes-lez-Anvaing (BE),Frasnes-lez-Anvaing,"{""type"": ""Point"", ""coordinates"": [3.63562012, 50.69210815]}","3.63562012, 50.69210815",,,,
Nicolas Everard,156738,,,,,,,,
. Waldeck-Pyrmont,156737,,,,,,,,
Pierre Du Ryer,156736,,,,,,,,
Werner Spies von Bullesheim,156734,,,,,,,,
H. Jaye,156733,,,,,,,,
Leopold Willem of Austria,156732,,,,,,,,
Christophe Rodolphe de Bredau,156731,,,,,,,,
Charles Philippe d'Ongnyes,156693,,,,,,,,
Claude Maillard,156692,,,,,,,,
Gabriel Naudé,156685,,,,,,,,
Bernhard von Mallinckrott,156684,,,,,,,,
Adam Tanner,156683,,,,,,,,
Jean Caramuel,156682,,,,,,,,
Georgius Flachius,156680,,,,,,,,
Ernest d'Isemburgh,156679,,,,,,,,
Johann Tritheim,156678,,,,,,,,
Mathieu Wesenbeck,156677,,,,,,,,
Henri d'Outreman,156676,,,,,,,,
Mathieu Ghodemart,156675,,,,,,,,
P. De Mares,156674,,,,,,,,
Andreas Guarna,156548,,,,,,,,
Adrien De Keyser,156547,,,,,,,,
François de La Croix,156546,,,,,,,,
Antoine Roberti,156545,,,,,,,,
Georg Reeb,156544,,,,,,,,
Louis Verneyken,156543,,,,,,,,
Antoine Oudin,156542,,,,,,,,
Thierry Morel,156541,,,,,,,,
Leonardo Bontempo,156540,,,,,,,,
Pietro Andrea Canonhiero,156539,,,,,,,,
Louise de Lorraine,156531,,,,,,,,
Joao de Sao Tomaz,156530,,,,,,,,
Hermann Conrad,156529,,,,,,,,
Joachim Camerarius,156527,,,,,,,,
P. Loth,156526,,,,,,,,
Guillaume Pepin,156524,,,,,,,,
Giovanni Battista Mascolo,156523,,,,,,,,
Nesebar Aesopus,156520,,,,,,,,
Pierre Des Champsneufs,156431,,,,,,,,
Jean Blumerel,156430,,,,,,,,
. Reynerus,156429,,,,,,,,
Guillaume Beaulieu,156428,,,,,,,,
Thadaeus Piso Soacia,156427,,,,,,,,
Pierre d'Assonleville,156426,,,,,,,,
Joachim Mynsinger,156425,,,,,,,,
Christian Schaffler,156424,,,,,,,,
Karl Perger,156423,,,,,,,,
Urbanus VIII,156422,,,,,,,,
Gaultier Bon Broë,156421,,,,,,,,
Philippe IV,156420,,,,,,,,
. Des Rosiers,156418,,,,,,,,
. de Brethencourt,156417,,,,,,,,
Ponthus d' Assonleville,156416,,,,,,,,
. Joyel,156415,,,,,,,,
Georges Charlet,156413,,,,,,,,
Bernardus Gualterius,156410,,,,,,,,
Johann Gretser,156379,,,,,,,,
. de Leaucourt,156378,,,,,,,,
Alexandre Charles Trognaesius,156376,,,,,,,,
Jean de Bloys,156375,,,,,,,,
Dares de Phrygie,156374,,,,,,,,
Robert Van den Vivere,156371,,,,,,,,
J. Piersenne,156370,,,,,,,,
Isabelle Enfant,156369,,,,,,,,
Philippe de l'Espinoy,156367,,,,,,,,
Paris von Lodron,156340,,,,,,,,
Engelbert Lamelin,156338,,,,,,,,
Nicolas Du Bois,156337,Froidchapelle (BE),Froidchapelle,"{""type"": ""Point"", ""coordinates"": [4.32742023, 50.1510582]}","4.32742023, 50.1510582",Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
George Fortescue,156336,,,,,,,,
Pierre Deschampsneufs,156335,,,,,,,,
Leandre de S. Martin,156334,,,,,,,,
Publius Cornelius Tacitus,156333,,,,,,,,
Gabriel Kilianus,156331,,,,,,,,
Robert Blundeston,156330,,,,,,,,
Thomas Medcalf,156329,,,,,,,,
Thomas Blacous,156328,,,,,,,,
Didacus Sarmiento de Acunna,156327,,,,,,,,
N. Le Bon,156260,,,,,,,,
J. Engren,156259,,,,,,,,
F. de Castillon,156258,,,,,,,,
N. de Genouville,156257,,,,,,,,
Albert d'Arenberg,156256,,,,,,,,
Pierre de Bougler,156255,,,,,,,,
Claude Rollin,156254,,,,,,,,
Francisco de Paz,156252,,,,,,,,
Claude d'Ongnies,156251,,,,,,,,
. Le Bouck,156249,,,,,,,,
Matthia Senarega,156243,,,,,,,,
Philibert Monet,156239,,,,,,,,
Euclides of Alexandria,156238,,,,,,,,
Vladislas Sigismond III,156157,,,,,,,,
Jean Olesnicki,156154,,,,,,,,
Balthasar de Zuniga,156151,,,,,,,,
Diego De La Encarnacion,156148,,,,,,,,
Comte de Chateau-Villain,156147,,,,,,,,
Sextus Propertius,156122,,,,,,,,
Albius Tibullus,156121,,,,,,,,
Balthazar Bellègre,156120,,,,,,,,
Silvestro Mazolini da Prierio,156117,,,,,,,,
Raphael Rastelli,156116,,,,,,,,
Jacob Gaultier,156113,,,,,,,,
Bon Broué,156111,,,,,,,,
Marcus Annaeus Lucanus,156109,,,,,,,,
Jacques Lernout,156106,,,,,,,,
. Epictetus,156099,,,,,,,,
Claude d'Ongnyes de Couppigny,156065,,,,,,,,
Christophe Chamberlin,156064,,,,,,,,
Didacus de Campo,156063,,,,,,,,
Giovanni Della Casa,156062,,,,,,,,
Elisabeth of Austria,156060,,,,,,,,
Henri Vander Zype,156054,,,,,,,,
André Van Hoye,156053,,,,,,,,
Caius Suetonius Tranquillus,156051,,,,,,,,
Publius Papinius Statius,156050,,,,,,,,
Jean Pillot,156024,,,,,,,,
Petrus Zeronski,156023,,,,,,,,
Charles Malapert,156022,,,,,,,,
Quintus Horatius Flaccus,156021,,,,,,,,
Louis de Haynin,156020,,,,,,,,
Caius Julius Caesar,156019,,,,,,,,
Heinrich von Knöringen,156018,,,,,,,,
Lievin Baes,156017,,,,,,,,
Aphthonius of Antioch,156016,,,,,,,,
Valerius Maximus,156015,,,,,,,,
Lucius Annaeus Seneca,156013,,,,,,,,
Stephanus Ubaldus Sconing,156011,,,,,,,,
Arnold Wyon,156009,,,,,,,,
Charles Alexandre,156006,,,,,,,,
Lucius Julius Florus,156003,,,,,,,,
Charles de Lalaing,156001,,,,,,,,
Claudius Claudianus,156000,,,,,,,,
Bernard Gaultier,155999,,,,,,,,
Wilhelm Blittersdorff,155998,,,,,,,,
Anton Schor,155997,,,,,,,,
Paul V,155996,,,,,,,,
Pietro Aldobrandini,155995,,,,,,,,
Clément VIII,155994,,,,,,,,
Scipio Borghese,155993,,,,,,,,
. Le Jeune,155992,,,,,,,,
Gilles Scoville,155965,,,,,,,,
François Vanderburch,155964,,,,,,,,
Louis de la Tramerye,155963,,,,,,,,
Ignace de la Tramerye,155962,,,,,,,,
l'échevinage de Douai,155961,,,,,,,,
Pierre de Surcq,155960,,,,,,,,
Christophe Vladeracken,155959,,,,,,,,
Publius Virgilius Maro,155958,,,,,,,,
Piat Maugred,155957,,,,,,,,
Anicius Manlius Torquatus Severinus Boëthius,155956,,,,,,,,
Caius Valerius Catullus,155955,,,,,,,,
Antoinette de Longueval,155954,,,,,,,,
. Aristoteles,155953,,,,,,,,
Senat de Gênes,155952,,,,,,,,
Giulio Negrone,155951,,,,,,,,
Marcus Valerius Martial,155950,,,,,,,,
Philippe Dutrieu,155949,,,,,,,,
Michaelis Ophovius,155948,,,,,,,,
Cypriano Soarez,155947,,,,,,,,
Maximilien Bailloeul,155946,,,,,,,,
Matteo Senarega,155943,,,,,,,,
Maffeo Leoni,155942,,,,,,,,
Johann Sybrich,155941,,,,,,,,
Johann Wilhelm Blitterdorff,155940,,,,,,,,
Jean Voellus,155938,,,,,,,,
Orazio Torsellini,155937,,,,,,,,
Christophorus Vladeraccus,155933,,,,,,,,
Gerard de Vivre,155932,,,,,,,,
. Ulpien,155930,,,,,,,,
Pierre de la Meschinière,155929,,,,,,,,
Jean-André d'Odrimont,155928,,,,,,,,
Joannes Vervliet,155927,,,,,,,,
Adrianus Junius,155926,,,,,,,,
Jacques Gay,155925,,,,,,,,
Petrus Aurol,155924,,,,,,,,
Christoph Freiesleben,155923,,,,,,,,
Henricus de Wyts,155921,,,,,,,,
Josse de Damhoudere,155920,,,,,,,,
Andreas Dominicus Floccus,155919,,,,,,,,
Arnauld de Villeneuve,155918,,,,,,,,
Cornelis Kilianus,155917,,,,,,,,
Joannes Brentius,155916,,,,,,,,
Andreas Brentius,155915,,,,,,,,
Damianus Diaz,155742,,,,,,,,
Gregorius Nazianzenus,155700,,,,,,,,
Antonio de Nebrija,155696,,,,,,,,
Hector Pinto,155668,,,,,,,,
Publius Terentius afer,155654,,,,,,,,
Augustinus of Hippo,155647,,,,,,,,
Desiderius Erasmus,155644,,,,,,,,
Quintus Curtius Rufus,155637,,,,,,,,
Aldo Manuzio,155629,,,,,,,,
Dionysius Cato,155497,,,,,,,,
Carolus Fernandez de Velasco,155057,,,,,,,,
Bernard Botty,155037,,,,,,,,
Bruno of Würzburg,155036,,,,,,,,
