Id,Label,rel_pers_ref_surname,rel_pers_ref_first_name,full name,birth year,birth country,birth place,death year,death country,death place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,dutch,english,french,german,latin,spanish,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,birth region,death region,printing house,house origion,house note,gender,most involved role,most involved language,most involved period,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality,X,Y
53546,Ignatius de Loyola,de Loyola,Ignatius,Ignatius de Loyola,1491,,,1556,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,,,,,,Male or Unspecified,author,FRENCH,1600s,4,9,6,0.310136,0.329114,0,0.006208,0.006208,0.000276,0,11,46,1,6,0.017714,-592.319397,1296.723633
64493,Fernandus Acx,Acx,Fernandus,Fernandus Acx,1839,Belgium,Pittem,,,,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,Low Countries,,,,,Male or Unspecified,author,ENGLISH,1630s,9,16,5,0.351388,0.369512,0.000165,0.019246,0.019246,0.000506,0,6,15,0.694444,25,0.04807,812.263672,-50.920441
77188,Antonius Perrenot de Granvelle,Perrenot de Granvelle,Antonius,Antonius Perrenot de Granvelle,1517,France,France,1586,Spain,Madrid,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,France,Iberian Union,,,,Male or Unspecified,dedicatee,FRENCH,Multi,16,26,5,0.327528,0.352626,0.000105,0.027153,0.027153,0.000656,0,10,2,0.958333,115,0.068025,317.612,1187.646851
77190,Jacobus Boonen,Boonen,Jacobus,Jacobus Boonen,1573,Belgium,Antwerpen,1655,Belgium,Brussel,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,Low Countries,Low Countries,,,,Male or Unspecified,dedicatee,LATIN,Multi,15,17,5,0.381893,0.406967,0.000348,0.044519,0.044519,0.000787,0,3,40,0.638095,67,0.108796,717.546936,209.215805
94638,Joannes Malderus,Malderus,Joannes,Joannes Malderus,1563,Belgium,Sint-Pieters-Leeuw,1633,Belgium,Antwerpen,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,Multi,LATIN,1620s,4,4,5,0.342752,0.366707,0,0.013618,0.013618,0.000279,0,2,40,1,6,0.034736,201.596725,-306.469269
99511,Antoine De Mol,De Mol,Antoine,Antoine De Mol,,,,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,Male or Unspecified,collaborator/contributor/signer,LATIN,1620s,4,10,6,0.292941,0.305146,0,0.003683,0.003683,0.000285,0,25,59,1,6,0.009719,463.495758,-1129.640259
100155,Jean de la Haye,de la Haye,Jean,Jean de la Haye,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,,,,,,Male or Unspecified,author,LATIN,1600s,8,11,5,0.365549,0.386561,0.000056,0.024059,0.024059,0.000448,0,1,85,0.785714,22,0.059304,489.383331,552.68219
116703,Erycius Puteanus,Puteanus,Erycius,Erycius Puteanus,1574,Netherlands,Venlo,1646,Belgium,Leuven,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,compiler/editor/revisor,LATIN,1620s,3,3,6,0.275131,0.285919,0,0.001582,0.001582,0.000257,0,2,38,1,3,0.004997,1025.018555,-1110.660767
119215,Jacques Boscard,Boscard,Jacques,Jacques Boscard,,Belgium,Leuven,1580,France,Douai,0,0,0,0,0,0,0,0,0,15,0,0,2,0,3,0,9,0,0,6,6,2,0,0,0,0,0,0,0,Low Countries,Low Countries,Boscard,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,Multi,19,26,6,0.302182,0.318089,0.004867,0.012833,0.012833,0.001181,0,10,23,0.269006,46,0.034947,-249.823273,1582.769775
119238,Christine De Roovere,De Roovere,Christine,Christine De Roovere,,,,,,,0,0,0,0,0,0,0,0,0,222,0,0,0,1,15,0,202,0,0,0,0,7,13,154,44,0,0,0,0,,,Boscard,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1600s,218,223,5,0.408204,0.465927,0.171866,0.049226,0.049226,0.0344,0,9,73,0.003509,83,0.193586,-1275.263306,-382.879578
119240,Charles I Boscard,Boscard,Charles I,Charles I Boscard,,France,Douai,1627,France,Saint-Omer,0,0,0,0,0,0,0,0,0,37,0,0,0,16,5,0,16,0,0,0,0,0,4,31,1,1,0,0,0,Low Countries,Low Countries,Boscard,Low Countries,,Male or Unspecified,printer/publisher,Multi,1600s,61,78,5,0.410493,0.440724,0.02055,0.054371,0.054371,0.003749,0,3,8,0.072678,133,0.148115,309.563507,884.263977
119243,Jeanne Burée,Burée,Jeanne,Jeanne Burée,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Female Pri/Pub,printer/publisher,ENGLISH,1630s,1,1,6,0.290327,0.303724,0,0.003223,0.003223,0.000125,0,2,13,0,0,0.008081,-803.88446,-1037.337524
119245,Charles Boscard,Boscard,Charles,Charles Boscard,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,Male or Unspecified,printer/publisher,ENGLISH,1620s,1,1,1,1,1,0,0,0,0.000484,1,17,18,0,0,0.00028,938.89032,1873.956055
119246,Richard Smyth,Smyth,Richard,Richard Smyth,1499,,,1563,France,Douai,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,,Low Countries,,,,Male or Unspecified,author,LATIN,1560s,3,4,7,0.232163,0.239193,0.000948,0.00035,0.00035,0.000377,0,10,23,0.333333,1,0.001781,-88.752113,2083.593994
119248,Lodewijk De Winde,De Winde,Lodewijk,Lodewijk De Winde,,,,1576,France,Douai,0,0,0,0,0,0,0,0,0,27,0,0,2,0,5,0,20,0,0,11,15,0,0,1,0,0,0,0,0,,Low Countries,de Winde,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1570s,31,58,5,0.345292,0.376325,0.005412,0.027592,0.027592,0.001705,0,10,17,0.217204,101,0.074837,-286.156769,1423.630981
119249,Jan I Bogart,Bogart,Jan I,Jan I Bogart,,,,1616,Belgium,Leuven,0,0,0,0,0,0,0,0,0,249,0,0,1,2,109,0,136,1,0,0,33,59,71,44,42,0,0,0,0,,Low Countries,Bogart,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1590s,300,639,5,0.411481,0.479236,0.114306,0.177054,0.177054,0.016871,0,10,77,0.025596,1148,0.480905,-195.244171,1066.88916
119252,Jean II Bogart,Bogart,Jean II,Jean II Bogart,1561,Belgium,Leuven,1629,France,Douai,0,0,0,0,0,1,0,0,1,107,0,0,0,1,24,0,84,0,0,0,0,0,1,0,38,68,2,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1620s,128,175,5,0.382391,0.423407,0.048125,0.064051,0.064051,0.008772,0,0,88,0.024606,200,0.185664,-611.533997,-54.35112
119257,Pierre Bogart,Bogart,Pierre,Pierre Bogart,1594,France,Douai,1639,France,Douai,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,3,15,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1630s,46,53,6,0.339854,0.359577,0.006507,0.022392,0.022392,0.002392,0,8,97,0.157488,163,0.067975,646.695679,-493.961365
119258,Martin Bogart,Bogart,Martin,Martin Bogart,1609,France,Douai,1636,France,Douai,0,0,0,0,1,0,0,0,0,24,0,0,0,6,7,0,11,0,0,0,0,0,0,0,0,2,22,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1630s,55,62,5,0.364834,0.390146,0.016758,0.043946,0.043946,0.003173,0,3,96,0.083502,124,0.115352,1058.125488,-192.481201
119259,Pierre Trigault,Trigault,Pierre,Pierre Trigault,,,,,,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,Male or Unspecified,dedicatee,LATIN,1630s,6,8,6,0.30684,0.321236,0.000028,0.006499,0.006499,0.000346,0,25,96,0.533333,8,0.017123,921.13562,-283.820007
119263,Françoise Pinchon,Pinchon,Françoise,Françoise Pinchon,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,,,Bogart,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1630s,5,5,5,0.322885,0.336203,0.001894,0.008154,0.008154,0.000403,0,8,57,0.4,4,0.020087,1261.891357,-724.900513
119266,Denis Hutsebaut,Hutsebaut,Denis,Denis Hutsebaut,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,,Bogart,Low Countries,,Male or Unspecified,printer/publisher,Multi,Multi,6,6,6,0.295517,0.307935,0.000044,0.003502,0.003502,0.000388,0,8,99,0.666667,10,0.010656,1135.472778,-1218.064575
119268,Balthazar I Bellère,Bellère,Balthazar I,Balthazar I Bellère,1564,Belgium,Antwerpen,1639,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s,585,1706,5,0.500978,0.596886,0.306462,0.383793,0.383793,0.035326,0,1,31,0.0121,2067,1,-294.54483,212.309784
119270,Anne de Behault,de Behault,Anne,Anne de Behault,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,,,Bellère,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1640s,9,11,5,0.364704,0.386472,0.000266,0.019314,0.019314,0.000524,0,6,13,0.527778,19,0.050626,75.847427,-582.296997
119272,Pierre Bellere,Bellere,Pierre,Pierre Bellere,1598,France,Douai,1672,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,3,0,Low Countries,,Bellère,Low Countries,,Male or Unspecified,printer/publisher,FRENCH,1640s,8,9,5,0.341781,0.35587,0.001125,0.01351,0.01351,0.000524,0,2,39,0.392857,11,0.033627,251.229233,-971.020447
119273,Balthazar II Bellere,Bellere,Balthazar II,Balthazar II Bellere,1617,France,Douai,1686,France,Douai,0,0,0,0,0,0,0,0,0,43,0,0,0,2,9,0,32,0,0,0,0,0,0,0,0,0,0,20,23,Low Countries,Low Countries,Bellère,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1650s,54,74,6,0.332307,0.354179,0.016737,0.019302,0.019302,0.003545,0,8,58,0.060098,86,0.061459,626.654724,-1047.784546
119277,Pierre I Borremans,Borremans,Pierre I,Pierre I Borremans,1572,Belgium,Antwerpen,1616,France,Douai,0,0,1,0,0,0,0,0,0,23,0,0,0,1,7,0,15,0,0,0,0,0,0,12,11,0,0,0,0,Low Countries,Low Countries,Borremans,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1600s,59,76,5,0.392044,0.421057,0.012713,0.064225,0.064225,0.003331,0,9,43,0.123904,212,0.16514,237.782547,457.262848
119278,Gertrud Heusch,Heusch,Gertrud,Gertrud Heusch,,,,,,,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,0,84,0,0,0,0,0,0,0,29,56,0,0,0,,,Borremans,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1620s,64,88,5,0.335022,0.360203,0.042771,0.014572,0.014572,0.008373,0,5,73,0.004464,9,0.051881,1443.366089,148.547501
119280,Laurence I Kellam,Kellam,Laurence I,Laurence I Kellam,1563,Britain,York,1613,France,Douai,0,0,0,0,0,0,0,0,0,63,0,0,0,20,5,0,38,0,0,0,0,0,0,39,24,0,0,0,0,Britain,Low Countries,Kellam,Britain,founder,Male or Unspecified,printer/publisher,LATIN,1600s,91,165,5,0.401017,0.434675,0.020267,0.086847,0.086847,0.005042,0,1,85,0.06398,262,0.219031,340.307831,704.852234
119282,William Allen,Allen,William,William Allen,1532,Britain,Lancashire,1594,Italy,Roma,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,Britain,Italy,,,,Male or Unspecified,author,LATIN,1600s,9,11,5,0.343729,0.370187,0.000127,0.017404,0.017404,0.000496,0,10,67,0.611111,22,0.045442,-351.860107,914.178833
119283,Marguerite Lanseart,Lanseart,Marguerite,Marguerite Lanseart,,,,,,,0,0,0,0,0,0,0,0,0,85,0,0,0,7,5,0,72,0,0,0,0,0,0,0,79,5,0,0,0,,,Kellam,Britain,,Female Pri/Pub,printer/publisher,LATIN,1610s,107,221,5,0.400156,0.435927,0.020548,0.109985,0.109985,0.005706,0,22,54,0.078822,447,0.270398,162.105316,-40.303795
119284,Thomas (I) Kellam,Kellam,Thomas (I),Thomas (I) Kellam,1595,Belgium,Leuven,1619,France,Douai,0,0,0,1,0,0,1,0,0,29,0,0,0,1,2,0,27,0,0,0,0,0,0,0,30,0,0,0,0,Low Countries,Low Countries,Kellam,Britain,,Male or Unspecified,printer/publisher,LATIN,1610s,43,89,5,0.376631,0.40452,0.002741,0.060594,0.060594,0.002117,0,22,54,0.204873,185,0.147243,-95.904716,-250.896606
