id,REL_PERS_REF_SURNAME,REL_PERS_REF_FIRST_NAME,Full Name,Birth Year,Birth Country,Birth Place,Death Year,Death Country,Death Place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,DUTCH,ENGLISH,FRENCH,GERMAN,LATIN,SPANISH,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,Birth Region,Death Region,Printing House,House Origion,House Note,Gender,Most Involved Role,Most Involved Language,Most Involved Period
53546,de Loyola,Ignatius,Ignatius de Loyola,1491.0,,,1556.0,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,,,,,,Male or Unspecified,author,FRENCH,1600s
64493,Acx,Fernandus,Fernandus Acx,1839.0,Belgium,Pittem,,,,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,Low Countries,,,,,Male or Unspecified,author,ENGLISH,1630s
77188,Perrenot de Granvelle,Antonius,Antonius Perrenot de Granvelle,1517.0,France,France,1586.0,Spain,Madrid,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,France,Iberian Union,,,,Male or Unspecified,dedicatee,FRENCH,Multi
77190,Boonen,Jacobus,Jacobus Boonen,1573.0,Belgium,Antwerpen,1655.0,Belgium,Brussel,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,Low Countries,Low Countries,,,,Male or Unspecified,dedicatee,LATIN,Multi
94638,Malderus,Joannes,Joannes Malderus,1563.0,Belgium,Sint-Pieters-Leeuw,1633.0,Belgium,Antwerpen,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,Multi,LATIN,1620s
99511,De Mol,Antoine,Antoine De Mol,,,,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,Male or Unspecified,collaborator/contributor/signer,LATIN,1620s
100155,de la Haye,Jean,Jean de la Haye,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,,,,,,Male or Unspecified,author,LATIN,1600s
116703,Puteanus,Erycius,Erycius Puteanus,1574.0,Netherlands,Venlo,1646.0,Belgium,Leuven,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,compiler/editor/revisor,LATIN,1620s
119215,Boscard,Jacques,Jacques Boscard,,Belgium,Leuven,1580.0,France,Douai,0,0,0,0,0,0,0,0,0,15,0,0,2,0,3,0,9,0,0,6,6,2,0,0,0,0,0,0,0,Low Countries,Low Countries,Boscard,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,Multi
119238,De Roovere,Christine,Christine De Roovere,,,,,,,0,0,0,0,0,0,0,0,0,222,0,0,0,1,15,0,202,0,0,0,0,7,13,154,44,0,0,0,0,,,Boscard,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1600s
