ODIS_PERS_ID,Degree,Degree Centrality,Eigenvector,Clustering,Closeness,Betweenness,modularity_class,REL_PERS_REF_SURNAME,REL_PERS_REF_FIRST_NAME,Full Name,Birth Year,Birth Country,Birth Place,Death Year,Death Country,Death Place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,DUTCH,ENGLISH,FRENCH,GERMAN,LATIN,SPANISH,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,Birth Region,Death Region,Printing House,House Origion,House Note,Gender,Most Involved Role,Most Involved Language,Most Involved Period
53546,4,0.001941747572815534,0.006208145699851936,1.0,0.3086306420104872,0.0,11,de Loyola,Ignatius,Ignatius de Loyola,1491.0,,,1556.0,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,,,,,,Male or Unspecified,author,FRENCH,1600s
64493,9,0.004368932038834952,0.019245329506398217,0.6944444444444444,0.34968264375888247,0.0001678848899816803,6,Acx,Fernandus,Fernandus Acx,1839.0,Belgium,Pittem,,,,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,Low Countries,,,,,Male or Unspecified,author,ENGLISH,1630s
77188,16,0.007766990291262136,0.027153320742372037,0.9583333333333334,0.32593841567172394,0.00010719165508977114,10,Perrenot de Granvelle,Antonius,Antonius Perrenot de Granvelle,1517.0,France,France,1586.0,Spain,Madrid,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,France,Iberian Union,,,,Male or Unspecified,dedicatee,FRENCH,Multi
77190,15,0.007281553398058252,0.04451827198164372,0.638095238095238,0.38003884942051425,0.0003546009702540141,3,Boonen,Jacobus,Jacobus Boonen,1573.0,Belgium,Antwerpen,1655.0,Belgium,Brussel,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,Low Countries,Low Countries,,,,Male or Unspecified,dedicatee,LATIN,Multi
94638,4,0.001941747572815534,0.013617262648457324,1.0,0.3410882032585387,0.0,2,Malderus,Joannes,Joannes Malderus,1563.0,Belgium,Sint-Pieters-Leeuw,1633.0,Belgium,Antwerpen,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,Multi,LATIN,1620s
99511,4,0.001941747572815534,0.0036833666749205855,1.0,0.2915187973262819,0.0,25,De Mol,Antoine,Antoine De Mol,,,,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,Male or Unspecified,collaborator/contributor/signer,LATIN,1620s
100155,8,0.003883495145631068,0.024057807150451218,0.7857142857142857,0.3637747046521613,5.7537575871500796e-05,1,de la Haye,Jean,Jean de la Haye,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,,,,,,Male or Unspecified,author,LATIN,1600s
116703,3,0.0014563106796116505,0.00158224278435282,1.0,0.2737952682444397,0.0,2,Puteanus,Erycius,Erycius Puteanus,1574.0,Netherlands,Venlo,1646.0,Belgium,Leuven,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,compiler/editor/revisor,LATIN,1620s
119215,19,0.009223300970873786,0.012833052533187337,0.26900584795321636,0.3007147027843927,0.0049617395956862605,10,Boscard,Jacques,Jacques Boscard,,Belgium,Leuven,1580.0,France,Douai,0,0,0,0,0,0,0,0,0,15,0,0,2,0,3,0,9,0,0,6,6,2,0,0,0,0,0,0,0,Low Countries,Low Countries,Boscard,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,Multi
119238,218,0.1058252427184466,0.04922537449447399,0.0035090686170887414,0.4062223304837356,0.1752204877565134,9,De Roovere,Christine,Christine De Roovere,,,,,,,0,0,0,0,0,0,0,0,0,222,0,0,0,1,15,0,202,0,0,0,0,7,13,154,44,0,0,0,0,,,Boscard,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1600s
