ODIS_PERS_ID,Degree,Degree Centrality,Eigenvector,Clustering,Closeness,Betweenness,modularity_class,REL_PERS_REF_SURNAME,REL_PERS_REF_FIRST_NAME,Full Name,Birth Year,Birth Country,Birth Place,Death Year,Death Country,Death Place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,DUTCH,ENGLISH,FRENCH,GERMAN,LATIN,SPANISH,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,Birth Region,Death Region,Printing House,House Origion,House Note,Gender,Most Involved Role,Most Involved Language,Most Involved Period
119238,218,0.1058252427184466,0.04922537449447399,0.0035090686170887414,0.4062223304837356,0.1752204877565134,9,De Roovere,Christine,Christine De Roovere,,,,,,,0,0,0,0,0,0,0,0,0,222,0,0,0,1,15,0,202,0,0,0,0,7,13,154,44,0,0,0,0,,,Boscard,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1600s
119283,107,0.051941747572815535,0.10998586919314636,0.07882207723505555,0.3982136528770877,0.020948634985696872,22,Lanseart,Marguerite,Marguerite Lanseart,,,,,,,0,0,0,0,0,0,0,0,0,85,0,0,0,7,5,0,72,0,0,0,0,0,0,0,79,5,0,0,0,,,Kellam,Britain,,Female Pri/Pub,printer/publisher,LATIN,1610s
119304,106,0.05145631067961165,0.05612284051299438,0.033423180592991916,0.370581025193337,0.04697309470860974,6,Vanderpiet,Marie,Marie Vanderpiet,1590.0,,,1663.0,,,0,0,0,0,0,0,0,0,0,113,0,0,0,26,49,0,38,0,0,0,0,0,0,0,0,0,64,27,22,,,Wyon,Low Countries,,Female Pri/Pub,printer/publisher,FRENCH,1630s
119308,71,0.03446601941747573,0.048225661510944456,0.06277665995975855,0.3678414251152759,0.028491755570488192,5,de Menin,Jeanne,Jeanne de Menin,,,,,,,0,0,0,0,0,0,0,0,0,63,0,0,0,0,3,0,58,0,0,0,0,0,0,0,1,35,17,8,0,,,Wardavoir,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1620s
119278,64,0.031067961165048542,0.014572638958938925,0.004464285714285714,0.3333957417371009,0.04360560871543321,5,Heusch,Gertrud,Gertrud Heusch,,,,,,,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,0,84,0,0,0,0,0,0,0,29,56,0,0,0,,,Borremans,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1620s
119270,9,0.004368932038834952,0.019312805582365308,0.5277777777777778,0.36293338261685115,0.0002714938186856733,6,de Behault,Anne,Anne de Behault,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,,,Bellère,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1640s
119289,9,0.004368932038834952,0.00536862802604179,0.1111111111111111,0.30303751391701134,8.463008373279095e-05,3,Boscard,Dorothée,Dorothée Boscard,,,,,,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,9,1,1,,,Auroy,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1630s
130875,8,0.003883495145631068,0.008462104346772192,1.0,0.2874117418553565,0.0,10,Widow Lodewijk De Winde,(?),(?) Widow Lodewijk De Winde,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,de Winde,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1570s
119325,7,0.0033980582524271844,0.0030885571452565286,0.2857142857142857,0.2932789740783957,0.001481199696790117,8,Marquette,Marie,Marie Marquette,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,9,,,Serrurier,Low Countries,,Female Pri/Pub,printer/publisher,FRENCH,1650s
119263,5,0.0024271844660194173,0.008154323241153017,0.4,0.3213180884689432,0.0019313739820914098,8,Pinchon,Françoise,Françoise Pinchon,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,,,Bogart,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1630s
119243,1,0.0004854368932038835,0.003223200390572276,0.0,0.28891779403615925,0.0,2,Burée,Jeanne,Jeanne Burée,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Female Pri/Pub,printer/publisher,ENGLISH,1630s
